temperature,city,pressure,date
278.07,Washington,1003,2024-03-24 09-00
278.07,Washington,1003,2024-03-24 08-59
278.07,Washington,1003,2024-03-24 08-58
277.97,Washington,1003,2024-03-24 08-57
277.97,Washington,1003,2024-03-24 08-56
277.97,Washington,1003,2024-03-24 08-55
277.97,Washington,1003,2024-03-24 08-54
277.97,Washington,1003,2024-03-24 08-53
277.97,Washington,1003,2024-03-24 08-52
277.97,Washington,1003,2024-03-24 08-51
277.97,Washington,1003,2024-03-24 08-50
277.97,Washington,1003,2024-03-24 08-49
278.14,Washington,1003,2024-03-24 08-48
278.14,Washington,1003,2024-03-24 08-47
278.14,Washington,1003,2024-03-24 08-46
278.14,Washington,1003,2024-03-24 08-45
278.14,Washington,1003,2024-03-24 08-41
278.14,Washington,1003,2024-03-24 08-40
278.14,Washington,1003,2024-03-24 08-39
278.14,Washington,1003,2024-03-24 08-38
278.11,Washington,1003,2024-03-24 07-42
292.04,Tunisia,1019,2024-03-24 09-00
292.04,Tunisia,1019,2024-03-24 08-59
292.04,Tunisia,1019,2024-03-24 08-58
292.04,Tunisia,1019,2024-03-24 08-57
292.04,Tunisia,1019,2024-03-24 08-56
292.04,Tunisia,1019,2024-03-24 08-55
292.04,Tunisia,1019,2024-03-24 08-54
292.04,Tunisia,1019,2024-03-24 08-53
292.04,Tunisia,1019,2024-03-24 08-52
292.04,Tunisia,1019,2024-03-24 08-51
292.04,Tunisia,1019,2024-03-24 08-50
292.04,Tunisia,1019,2024-03-24 08-49
292.04,Tunisia,1019,2024-03-24 08-48
292.04,Tunisia,1019,2024-03-24 08-47
292.04,Tunisia,1019,2024-03-24 08-46
292.04,Tunisia,1019,2024-03-24 08-45
292.04,Tunisia,1019,2024-03-24 08-41
292.04,Tunisia,1019,2024-03-24 08-40
292.04,Tunisia,1019,2024-03-24 08-39
292.04,Tunisia,1019,2024-03-24 08-38
290.04,Tunisia,1019,2024-03-24 07-42
286.16,Tokyo,1018,2024-03-24 09-00
286.16,Tokyo,1018,2024-03-24 08-59
286.16,Tokyo,1018,2024-03-24 08-58
286.16,Tokyo,1018,2024-03-24 08-57
286.16,Tokyo,1018,2024-03-24 08-56
286.16,Tokyo,1018,2024-03-24 08-55
286.16,Tokyo,1018,2024-03-24 08-54
286.16,Tokyo,1018,2024-03-24 08-53
286.16,Tokyo,1018,2024-03-24 08-52
286.16,Tokyo,1018,2024-03-24 08-51
286.16,Tokyo,1018,2024-03-24 08-50
286.16,Tokyo,1018,2024-03-24 08-49
286.43,Tokyo,1018,2024-03-24 08-48
286.43,Tokyo,1018,2024-03-24 08-47
286.43,Tokyo,1018,2024-03-24 08-46
286.43,Tokyo,1018,2024-03-24 08-45
286.43,Tokyo,1018,2024-03-24 08-41
286.43,Tokyo,1018,2024-03-24 08-40
286.43,Tokyo,1018,2024-03-24 08-39
286.43,Tokyo,1018,2024-03-24 08-38
287.04,Tokyo,1018,2024-03-24 07-42
288.8,Rome,1010,2024-03-24 09-00
288.8,Rome,1010,2024-03-24 08-59
288.8,Rome,1010,2024-03-24 08-58
288.51,Rome,1010,2024-03-24 08-57
288.51,Rome,1010,2024-03-24 08-56
288.51,Rome,1010,2024-03-24 08-55
288.51,Rome,1010,2024-03-24 08-54
288.51,Rome,1010,2024-03-24 08-53
288.51,Rome,1010,2024-03-24 08-52
288.51,Rome,1010,2024-03-24 08-51
288.51,Rome,1010,2024-03-24 08-50
288.51,Rome,1010,2024-03-24 08-49
288.37,Rome,1010,2024-03-24 08-48
288.37,Rome,1010,2024-03-24 08-47
288.37,Rome,1010,2024-03-24 08-46
288.37,Rome,1010,2024-03-24 08-45
288.37,Rome,1010,2024-03-24 08-41
288.37,Rome,1010,2024-03-24 08-40
288.37,Rome,1010,2024-03-24 08-39
288.37,Rome,1010,2024-03-24 08-38
287.54,Rome,1009,2024-03-24 07-42
280.28,Paris,1014,2024-03-24 09-00
280.28,Paris,1014,2024-03-24 08-59
280.28,Paris,1014,2024-03-24 08-58
280.31,Paris,1014,2024-03-24 08-57
280.31,Paris,1014,2024-03-24 08-56
280.31,Paris,1014,2024-03-24 08-55
279.99,Paris,1013,2024-03-24 08-54
279.99,Paris,1013,2024-03-24 08-53
279.99,Paris,1013,2024-03-24 08-52
279.99,Paris,1013,2024-03-24 08-51
279.99,Paris,1013,2024-03-24 08-50
279.99,Paris,1013,2024-03-24 08-49
280.18,Paris,1014,2024-03-24 08-48
280.18,Paris,1014,2024-03-24 08-47
280.18,Paris,1014,2024-03-24 08-46
280.18,Paris,1014,2024-03-24 08-45
279.84,Paris,1013,2024-03-24 08-41
279.84,Paris,1013,2024-03-24 08-40
279.84,Paris,1013,2024-03-24 08-39
279.86,Paris,1013,2024-03-24 08-38
278.38,Paris,1013,2024-03-24 07-42
287.06,Madrid,1015,2024-03-24 09-00
287.06,Madrid,1015,2024-03-24 08-59
286.78,Madrid,1015,2024-03-24 08-58
287.0,Madrid,1015,2024-03-24 08-57
287.0,Madrid,1015,2024-03-24 08-56
287.0,Madrid,1015,2024-03-24 08-55
287.0,Madrid,1015,2024-03-24 08-54
286.58,Madrid,1015,2024-03-24 08-53
286.58,Madrid,1015,2024-03-24 08-52
286.58,Madrid,1015,2024-03-24 08-51
286.58,Madrid,1015,2024-03-24 08-50
286.58,Madrid,1015,2024-03-24 08-49
286.55,Madrid,1015,2024-03-24 08-48
286.55,Madrid,1015,2024-03-24 08-47
286.55,Madrid,1015,2024-03-24 08-46
286.55,Madrid,1015,2024-03-24 08-45
286.55,Madrid,1015,2024-03-24 08-41
286.55,Madrid,1015,2024-03-24 08-40
286.55,Madrid,1015,2024-03-24 08-39
286.42,Madrid,1015,2024-03-24 08-38
285.07,Madrid,1015,2024-03-24 07-42
281.27,London,1009,2024-03-24 09-00
281.27,London,1009,2024-03-24 08-59
281.27,London,1009,2024-03-24 08-58
281.22,London,1009,2024-03-24 08-57
281.22,London,1009,2024-03-24 08-56
281.22,London,1009,2024-03-24 08-55
281.22,London,1009,2024-03-24 08-54
281.22,London,1009,2024-03-24 08-53
281.22,London,1009,2024-03-24 08-52
281.22,London,1009,2024-03-24 08-51
281.22,London,1009,2024-03-24 08-50
281.22,London,1009,2024-03-24 08-49
281.19,London,1009,2024-03-24 08-48
281.19,London,1009,2024-03-24 08-47
281.19,London,1009,2024-03-24 08-46
281.19,London,1009,2024-03-24 08-45
281.02,London,1009,2024-03-24 08-41
281.02,London,1009,2024-03-24 08-40
281.02,London,1009,2024-03-24 08-39
281.04,London,1009,2024-03-24 08-38
280.06,London,1009,2024-03-24 07-42
280.44,Berlin,987,2024-03-24 09-00
280.44,Berlin,987,2024-03-24 08-59
280.44,Berlin,987,2024-03-24 08-58
280.35,Berlin,987,2024-03-24 08-57
280.35,Berlin,987,2024-03-24 08-56
280.35,Berlin,987,2024-03-24 08-55
280.22,Berlin,987,2024-03-24 08-54
280.22,Berlin,987,2024-03-24 08-53
280.22,Berlin,987,2024-03-24 08-52
280.22,Berlin,987,2024-03-24 08-51
280.22,Berlin,987,2024-03-24 08-50
280.22,Berlin,987,2024-03-24 08-49
280.22,Berlin,987,2024-03-24 08-48
280.22,Berlin,987,2024-03-24 08-47
280.22,Berlin,987,2024-03-24 08-46
280.22,Berlin,987,2024-03-24 08-45
279.81,Berlin,987,2024-03-24 08-41
279.81,Berlin,987,2024-03-24 08-40
279.81,Berlin,987,2024-03-24 08-39
279.72,Berlin,987,2024-03-24 08-38
278.13,Berlin,988,2024-03-24 07-42
287.05,Orleans,1013,2024-03-24 09-00
287.05,Orleans,1013,2024-03-24 08-59
287.05,Orleans,1013,2024-03-24 08-58
287.35,Orleans,1014,2024-03-24 08-57
287.35,Orleans,1014,2024-03-24 08-56
287.35,Orleans,1014,2024-03-24 08-55
287.35,Orleans,1014,2024-03-24 08-54
287.35,Orleans,1014,2024-03-24 08-53
287.35,Orleans,1014,2024-03-24 08-52
287.35,Orleans,1014,2024-03-24 08-51
287.35,Orleans,1014,2024-03-24 08-50
287.35,Orleans,1014,2024-03-24 08-49
287.4,Orleans,1014,2024-03-24 08-48
287.4,Orleans,1014,2024-03-24 08-47
287.4,Orleans,1014,2024-03-24 08-46
287.4,Orleans,1014,2024-03-24 08-45
287.4,Orleans,1014,2024-03-24 08-41
287.4,Orleans,1014,2024-03-24 08-40
287.4,Orleans,1014,2024-03-24 08-39
287.4,Orleans,1014,2024-03-24 08-38
287.97,Orleans,1015,2024-03-24 07-42
